,MSA,Total Population,population,collegegrad,sciencegrad,scienceugrad,houseprice,commute,violentcrime,patents,Kauffman,Site selection,Total Sq Feet,Underused Sq Feet,acres land,Top 50 Grad programs,govt at univ R&D per capita,Longitude,Latitude
126,"Fort Wayne, IN",431802,220100,0.27,0,2.5,144706,0.77,2.213977814,0.376808256,0,0,1918084,1067127,216,0,0,-85.12886,41.130604
127,"Fresno, CA",979915,482887,0.2,0,6.8,279980,0.75,4.640198231,0.090096556,0,0,2617250,7378,1291,0,24,-119.734947,36.862603
128,"Gadsden, AL",102564,52419,0.16,0,0,131728,0.69,5.056932449,0.05019689,0,0,62509,0,12,0,0,-86.006639,34.014264
129,"Gainesville, FL",281796,134473,0.38,7,88.6,201293,0.73,5.347840309,0.571493208,0,0,1615055,8964,175,30,5221,-82.324515,29.648993
130,"Gainesville, GA",196637,99258,0.22,0,0.1,227527,0.66,1.697544217,0.205085799,0,1,88732,0,0,0,0,-83.837912,34.334398
131,"Gettysburg, PA",102180,51478,0.22,0,6,228095,0.6,,0.148854822,0,0,NA,,,0,11,-77.226591,39.840922
132,"Glens Falls, NY",126367,67542,0.25,0,0,239409,0.66,1.171191812,0.181694642,0,0,10397,0,2,0,0,-73.64401,43.30952
133,"Goldsboro, NC",124150,63841,0.18,0,0.5,155880,0.77,3.664921522,0.04408348,0,0,3198549,3425,49881,0,0,-78.092871,35.368277
134,"Grand Forks, ND-MN",102743,48927,0.3,1,4.2,193200,0.86,2.114012718,0.284467727,0,0,3355833,0,5464,2,1406,-97.141144,47.866638
135,"Grand Island, NE",85584,42079,0.2,0,0,150467,0.82,,0.067266524,0,0,NA,,,0,0,-98.368698,40.87227
136,"Grand Junction, CO",150083,73722,0.25,0,0.8,254406,0.85,3.45376873,0.168706849,0,0,625881,3676,7229,0,11,-108.550649,39.063871
137,"Grand Rapids-Wyoming, MI",1047099,540324,0.32,0,29.4,197114,0.76,3.077009201,0.456723928,0,0,695450,0,10,0,24,-85.588037,42.99331
138,"Grants Pass, OR",85904,41593,0.2,0,0,279007,0.81,,0.175067261,0,0,NA,,,0,0,-123.338332,42.535654
139,"Great Falls, MT",81755,40577,0.23,0,0.4,187959,0.9,2.519723654,0.020430166,0,0,3848962,0,3042,0,0,-111.300808,47.500235
140,"Greeley, CO",294932,153712,0.27,0,3,295358,0.58,2.681184769,0.53538239,0,0,97637,1200,15990,0,17,-104.680631,40.384991
141,"Green Bay, WI",318236,168709,0.27,0,5.7,188417,0.78,1.989089847,0.137352049,0,0,81046,0,7,0,7,-88.016063,44.480778
142,"Greensboro-High Point, NC",756139,394669,0.28,0,14.3,179018,0.73,3.16525507,0.2629278,0,1,501177,23926,0,2,138,-79.748189,36.079657
143,"Greenville, NC",177220,85601,0.32,0,4.2,158175,0.78,4.062747002,0.148516834,0,0,83985,0,0,0,305,-77.392609,35.580444
144,"Greenville-Anderson-Mauldin, SC",884975,455763,0.29,2,30.5,198065,0.69,5.235422611,0.70077306,0,1,205651,0,2,7,431,-82.473846,34.951295
145,"Gulfport-Biloxi-Pascagoula, MS",391266,203053,0.22,0,0,172309,0.7,1.94752419,0.066486157,0,0,16233467,402210,26907,0,0,-88.761137,30.391866
146,"Hagerstown-Martinsburg, MD-WV",263817,143162,0.2,0,0,212180,0.6,2.469687223,0.070797808,0,0,2162373,10096,516,0,1,-77.241647,39.630388
147,"Hammond, LA",130710,65833,0.2,0,1.2,189827,0.54,,0.064603657,0,0,NA,,,0,35,-90.455381,30.533587
148,"Hanford-Corcoran, CA",149785,77706,0.12,0,0,219179,0.72,4.646660328,0.033545148,0,0,3860991,0,18833,0,0,-119.64594,36.313347
149,"Harrisburg-Carlisle, PA",568033,301411,0.33,0,14.5,210512,0.72,2.353736401,0.402664304,0,0,22150858,0,2754,0,7,-76.829482,40.253789
150,"Harrisonburg, VA",132822,60205,0.29,0,16.8,237946,0.79,1.377783775,0.070984468,0,0,197498,0,0,0,113,-78.877137,38.422777
151,"Hartford-West Hartford-East Hartford, CT",1206836,634410,0.38,3,61.5,280769,0.67,2.151079416,0.66865474,0,0,1649861,30579,307,17,408,-72.686032,41.769289
152,"Hattiesburg, MS",148803,75006,0.29,0,4.1,165419,0.73,0.806435347,0.073646516,0,0,263493,0,8518,4,711,-89.28071,31.245138
153,"Hickory-Lenoir-Morganton, NC",364187,190958,0.17,0,1.3,162081,0.72,1.924835324,0.286621869,0,0,14006,0,0,0,0,-81.68482,35.74541
154,"Hilton Head Island-Bluffton-Beaufort, SC",211614,97570,0.38,0,0,411028,0.65,,0.103020415,0,0,NA,,,0,0,-80.707532,32.208624
155,"Hinesville, GA",82687,40443,0.16,0,0,178041,0.73,3.465049505,0.022005294,0,0,14999880,0,284528,0,0,-81.437074,31.806832
156,"Homosassa Springs, FL",143621,64796,0.2,0,0,167638,0.62,,0.073168188,0,0,NA,,,0,0,-82.574264,28.804911
157,"Hot Springs, AR",97477,47939,0.18,0,0,167930,0.77,3.980426073,0.095744416,0,0,168469,23022,2,0,0,-101.839602,35.20603
158,"Houma-Thibodaux, LA",211525,110655,0.16,0,0.8,170695,0.7,2.411062479,0.156601712,0,0,109795,2445,411,0,23,-90.82287,29.79576
159,"Houston-The Woodlands-Sugar Land, TX",6772470,3619622,0.32,8,60.5,253481,0.51,5.409252644,0.545435429,1,1,8119380,91628,1916,24,393,-97.397205,30.406454
160,"Huntington-Ashland, WV-KY-OH",359588,183745,0.2,0,2.7,177125,0.69,2.211584806,0.078453436,0,0,1626933,8498,397,0,167,-82.435487,38.410222
161,"Huntsville, AL",449720,242860,0.37,0,6.5,217050,0.71,4.675434589,0.622597158,0,0,15883976,22233,31252,1,373,-86.556439,34.718428
162,"Idaho Falls, ID",143776,67997,0.31,0,0,192225,0.8,1.488426447,0.509046257,0,0,227544,1600,1709,0,0,-111.877936,43.54241
163,"Indianapolis-Carmel-Anderson, IN",2001737,1065974,0.34,0,18.9,196579,0.65,6.110293388,0.419177145,1,1,7477605,0,34424,4,1,-86.164591,39.771461
164,"Iowa City, IA",168828,82079,0.49,3,33.4,231283,0.8,2.517354965,0.54621911,0,0,727317,0,15,23,4632,-91.49905,41.634209
165,"Ithaca, NY",104871,47187,0.52,22,177.5,221567,0.85,1.220547199,1.643669009,0,0,69736,0,2,44,14657,-76.483999,42.402794
166,"Jackson, MI",158460,83342,0.22,0,0.5,171789,0.7,4.148681164,0.221972302,0,0,3914,0,0,0,3,-84.40135,42.24587
167,"Jackson, MS",580178,302955,0.3,0,5.9,183024,0.66,3.446473598,0.05920174,0,0,2757469,3711,1425,0,189,-90.18481,32.29876
168,"Jackson, TN",129527,64601,0.19,0,1.1,147153,0.79,7.681796074,0.080117404,0,0,178393,3800,0,0,0,-88.81395,35.61452
169,"Jacksonville, FL",1478212,795465,0.31,0,3.3,244408,0.59,5.064226151,0.152755275,1,0,15809722,0,13749,0,11,-81.65565,30.33218
170,"Jacksonville, NC",187136,83421,0.19,0,0,176046,0.76,1.063397765,0.018257298,0,0,28115640,1647,126771,0,0,-77.43024,34.75405
171,"Janesville-Beloit, WI",161620,83760,0.22,0,6.1,165506,0.71,2.307882786,0.424464762,0,0,3806,0,0,0,6,-89.20852,42.672032
172,"Jefferson City, MO",148915,78292,0.27,0,1.1,171311,0.74,2.410771132,0.01396964,0,0,860059,2034,52,0,116,-92.165194,38.494029
173,"Johnson City, TN",200449,102176,0.26,0,3.2,175632,0.72,2.903481722,0.144412458,0,0,897046,0,188,0,107,-82.317625,36.330485
174,"Johnstown, PA",134732,67040,0.22,0,2.3,115046,0.71,1.796158314,0.055844333,0,0,82398,0,135,0,47,-77.052749,40.940082
175,"Jonesboro, AR",129858,65251,0.21,0,1.7,146593,0.85,3.935067654,0.123579971,0,0,5424,0,0,0,208,-90.623071,35.835847
176,"Joplin, MO",177805,89213,0.2,0,0.7,150143,0.84,3.247173309,0.197409004,0,1,201257,6503,4368,0,0,-94.502663,37.113343
177,"Kalamazoo-Portage, MI",336877,164558,0.34,1,16.6,178623,0.77,4.523906231,0.360708237,0,0,784804,0,7778,2,100,-85.58,42.20115
